"","av","Time","SharePerHour"
"4513","Eat drink",410,1.86
"4514","Miscellaneous",410,11.31
"4515","Nonsocial leisure",410,0.27
"4516","Paid work",410,3.2
"4517","Personal care",410,81.58
"4518","Religion and volunteering",410,0.05
"4519","School / Study",410,0.07
"4520","Social leisure",410,0.3
"4521","Sport exercise",410,0.15
"4522","TV/radio",410,0.52
"4523","Cultural leisure",411,0.12
"4524","Domestic work",411,0.52
"4525","Eat drink",411,1.98
"4526","Miscellaneous",411,11.23
"4527","Nonsocial leisure",411,0.27
"4528","Paid work",411,3.5
"4529","Personal care",411,81.21
"4530","Religion and volunteering",411,0.05
"4531","School / Study",411,0.07
"4532","Social leisure",411,0.32
"4533","Sport exercise",411,0.15
"4534","TV/radio",411,0.57
"4535","Cultural leisure",412,0.12
"4536","Domestic work",412,0.55
"4537","Eat drink",412,2.01
"4538","Miscellaneous",412,11.21
"4539","Nonsocial leisure",412,0.27
"4540","Paid work",412,3.5
"4541","Personal care",412,81.18
"4542","Religion and volunteering",412,0.05
"4543","School / Study",412,0.07
"4544","Social leisure",412,0.32
"4545","Sport exercise",412,0.15
"4546","TV/radio",412,0.57
"4547","Cultural leisure",413,0.12
"4548","Domestic work",413,0.57
"4549","Eat drink",413,1.98
"4550","Miscellaneous",413,11.21
"4551","Nonsocial leisure",413,0.27
"4552","Paid work",413,3.5
"4553","Personal care",413,81.18
"4554","Religion and volunteering",413,0.05
"4555","School / Study",413,0.07
"4556","Social leisure",413,0.32
"4557","Sport exercise",413,0.15
"4558","TV/radio",413,0.57
"4559","Cultural leisure",414,0.12
"4560","Domestic work",414,0.57
"4561","Eat drink",414,1.98
"4562","Miscellaneous",414,11.21
"4563","Nonsocial leisure",414,0.27
"4564","Paid work",414,3.57
"4565","Personal care",414,81.11
"4566","Religion and volunteering",414,0.05
"4567","School / Study",414,0.07
"4568","Social leisure",414,0.32
"4569","Sport exercise",414,0.15
"4570","TV/radio",414,0.57
"4571","Cultural leisure",415,0.12
"4572","Domestic work",415,0.57
"4573","Eat drink",415,1.98
"4574","Miscellaneous",415,11.21
"4575","Nonsocial leisure",415,0.27
"4576","Paid work",415,3.6
"4577","Personal care",415,81.08
"4578","Religion and volunteering",415,0.05
"4579","School / Study",415,0.07
"4580","Social leisure",415,0.32
"4581","Sport exercise",415,0.15
"4582","TV/radio",415,0.57
"4583","Cultural leisure",416,0.17
"4584","Domestic work",416,0.64
"4585","Eat drink",416,1.91
"4586","Miscellaneous",416,11.18
"4587","Nonsocial leisure",416,0.3
"4588","Paid work",416,3.79
"4589","Personal care",416,80.78
"4590","Religion and volunteering",416,0.05
"4591","School / Study",416,0.07
"4592","Social leisure",416,0.32
"4593","Sport exercise",416,0.17
"4594","TV/radio",416,0.6
"4595","Cultural leisure",417,0.17
"4596","Domestic work",417,0.64
"4597","Eat drink",417,1.88
"4598","Miscellaneous",417,11.18
"4599","Nonsocial leisure",417,0.3
"4600","Paid work",417,3.79
"4601","Personal care",417,80.83
"4602","Religion and volunteering",417,0.05
"4603","School / Study",417,0.07
"4604","Social leisure",417,0.32
"4605","Sport exercise",417,0.15
"4606","TV/radio",417,0.6
"4607","Cultural leisure",418,0.17
"4608","Domestic work",418,0.64
"4609","Eat drink",418,1.91
"4610","Miscellaneous",418,11.18
"4611","Nonsocial leisure",418,0.3
"4612","Paid work",418,3.79
"4613","Personal care",418,80.81
"4614","Religion and volunteering",418,0.05
"4615","School / Study",418,0.07
"4616","Social leisure",418,0.32
"4617","Sport exercise",418,0.15
"4618","TV/radio",418,0.6
"4619","Cultural leisure",419,0.17
"4620","Domestic work",419,0.67
"4621","Eat drink",419,1.88
"4622","Miscellaneous",419,11.18
"4623","Nonsocial leisure",419,0.3
"4624","Paid work",419,3.79
"4625","Personal care",419,80.81
"4626","Religion and volunteering",419,0.05
"4627","School / Study",419,0.07
"4628","Social leisure",419,0.32
"4629","Sport exercise",419,0.15
"4630","TV/radio",419,0.6
"4631","Cultural leisure",420,0.17
"4632","Domestic work",420,0.67
"4633","Eat drink",420,1.88
"4634","Miscellaneous",420,11.18
"4635","Nonsocial leisure",420,0.3
"4636","Paid work",420,3.79
"4637","Personal care",420,80.81
"4638","Religion and volunteering",420,0.05
"4639","School / Study",420,0.07
"4640","Social leisure",420,0.32
"4641","Sport exercise",420,0.15
"4642","TV/radio",420,0.6
"4643","Cultural leisure",421,0.3
"4644","Domestic work",421,0.94
"4645","Eat drink",421,2.08
"4646","Miscellaneous",421,9.99
"4647","Nonsocial leisure",421,0.32
"4648","Paid work",421,4.81
"4649","Personal care",421,80.21
"4650","Religion and volunteering",421,0.05
"4651","School / Study",421,0.1
"4652","Social leisure",421,0.32
"4653","Sport exercise",421,0.12
"4654","TV/radio",421,0.74
"4655","Cultural leisure",422,0.35
"4656","Domestic work",422,0.94
"4657","Eat drink",422,2.11
"4658","Miscellaneous",422,9.99
"4659","Nonsocial leisure",422,0.35
"4660","Paid work",422,4.81
"4661","Personal care",422,80.11
"4662","Religion and volunteering",422,0.05
"4663","School / Study",422,0.1
"4664","Social leisure",422,0.32
"4665","Sport exercise",422,0.12
"4666","TV/radio",422,0.74
"4667","Cultural leisure",423,0.35
"4668","Domestic work",423,0.99
"4669","Eat drink",423,2.11
"4670","Miscellaneous",423,9.97
"4671","Nonsocial leisure",423,0.35
"4672","Paid work",423,4.81
"4673","Personal care",423,80.06
"4674","Religion and volunteering",423,0.05
"4675","School / Study",423,0.1
"4676","Social leisure",423,0.32
"4677","Sport exercise",423,0.12
"4678","TV/radio",423,0.77
"4679","Cultural leisure",424,0.32
"4680","Domestic work",424,1.02
"4681","Eat drink",424,2.08
"4682","Miscellaneous",424,9.94
"4683","Nonsocial leisure",424,0.37
"4684","Paid work",424,4.81
"4685","Personal care",424,80.09
"4686","Religion and volunteering",424,0.05
"4687","School / Study",424,0.1
"4688","Social leisure",424,0.32
"4689","Sport exercise",424,0.12
"4690","TV/radio",424,0.77
"4691","Cultural leisure",425,0.32
"4692","Domestic work",425,1.02
"4693","Eat drink",425,2.11
"4694","Miscellaneous",425,9.94
"4695","Nonsocial leisure",425,0.37
"4696","Paid work",425,4.81
"4697","Personal care",425,80.06
"4698","Religion and volunteering",425,0.05
"4699","School / Study",425,0.1
"4700","Social leisure",425,0.32
"4701","Sport exercise",425,0.12
"4702","TV/radio",425,0.77
"4703","Cultural leisure",426,0.37
"4704","Domestic work",426,1.14
"4705","Eat drink",426,2.83
"4706","Miscellaneous",426,9.87
"4707","Nonsocial leisure",426,0.32
"4708","Paid work",426,5.03
"4709","Personal care",426,79
"4710","Religion and volunteering",426,0.05
"4711","School / Study",426,0.1
"4712","Social leisure",426,0.35
"4713","Sport exercise",426,0.1
"4714","TV/radio",426,0.84
"4715","Cultural leisure",427,0.37
"4716","Domestic work",427,1.14
"4717","Eat drink",427,2.8
"4718","Miscellaneous",427,9.84
"4719","Nonsocial leisure",427,0.32
"4720","Paid work",427,5.06
"4721","Personal care",427,79.02
"4722","Religion and volunteering",427,0.05
"4723","School / Study",427,0.1
"4724","Social leisure",427,0.35
"4725","Sport exercise",427,0.1
"4726","TV/radio",427,0.84
"4727","Cultural leisure",428,0.37
"4728","Domestic work",428,1.21
"4729","Eat drink",428,2.78
"4730","Miscellaneous",428,9.84
"4731","Nonsocial leisure",428,0.32
"4732","Paid work",428,5.03
"4733","Personal care",428,79
"4734","Religion and volunteering",428,0.05
"4735","School / Study",428,0.1
"4736","Social leisure",428,0.35
"4737","Sport exercise",428,0.1
"4738","TV/radio",428,0.84
"4739","Cultural leisure",429,0.4
"4740","Domestic work",429,1.24
"4741","Eat drink",429,2.78
"4742","Miscellaneous",429,9.84
"4743","Nonsocial leisure",429,0.32
"4744","Paid work",429,5.03
"4745","Personal care",429,78.95
"4746","Religion and volunteering",429,0.05
"4747","School / Study",429,0.1
"4748","Social leisure",429,0.35
"4749","Sport exercise",429,0.1
"4750","TV/radio",429,0.84
"4751","Cultural leisure",430,0.4
"4752","Domestic work",430,1.21
"4753","Eat drink",430,2.83
"4754","Miscellaneous",430,9.84
"4755","Nonsocial leisure",430,0.32
"4756","Paid work",430,5.03
"4757","Personal care",430,78.92
"4758","Religion and volunteering",430,0.05
"4759","School / Study",430,0.1
"4760","Social leisure",430,0.35
"4761","Sport exercise",430,0.1
"4762","TV/radio",430,0.84
"4763","Cultural leisure",431,0.45
"4764","Domestic work",431,1.39
"4765","Eat drink",431,3.82
"4766","Miscellaneous",431,9.74
"4767","Nonsocial leisure",431,0.37
"4768","Paid work",431,5.21
"4769","Personal care",431,77.49
"4770","Religion and volunteering",431,0.07
"4771","School / Study",431,0.07
"4772","Social leisure",431,0.35
"4773","Sport exercise",431,0.15
"4774","TV/radio",431,0.89
"4775","Cultural leisure",432,0.45
"4776","Domestic work",432,1.36
"4777","Eat drink",432,3.84
"4778","Miscellaneous",432,9.72
"4779","Nonsocial leisure",432,0.37
"4780","Paid work",432,5.21
"4781","Personal care",432,77.49
"4782","Religion and volunteering",432,0.07
"4783","School / Study",432,0.07
"4784","Social leisure",432,0.35
"4785","Sport exercise",432,0.17
"4786","TV/radio",432,0.89
"4787","Cultural leisure",433,0.47
"4788","Domestic work",433,1.29
"4789","Eat drink",433,3.82
"4790","Miscellaneous",433,9.72
"4791","Nonsocial leisure",433,0.37
"4792","Paid work",433,5.21
"4793","Personal care",433,77.51
"4794","Religion and volunteering",433,0.07
"4795","School / Study",433,0.07
"4796","Social leisure",433,0.35
"4797","Sport exercise",433,0.17
"4798","TV/radio",433,0.94
"4799","Cultural leisure",434,0.47
"4800","Domestic work",434,1.24
"4801","Eat drink",434,3.84
"4802","Miscellaneous",434,9.72
"4803","Nonsocial leisure",434,0.37
"4804","Paid work",434,5.23
"4805","Personal care",434,77.51
"4806","Religion and volunteering",434,0.07
"4807","School / Study",434,0.07
"4808","Social leisure",434,0.35
"4809","Sport exercise",434,0.17
"4810","TV/radio",434,0.94
"4811","Cultural leisure",435,0.47
"4812","Domestic work",435,1.21
"4813","Eat drink",435,3.84
"4814","Miscellaneous",435,9.72
"4815","Nonsocial leisure",435,0.37
"4816","Paid work",435,5.23
"4817","Personal care",435,77.54
"4818","Religion and volunteering",435,0.07
"4819","School / Study",435,0.07
"4820","Social leisure",435,0.35
"4821","Sport exercise",435,0.17
"4822","TV/radio",435,0.94
"4823","Cultural leisure",436,0.5
"4824","Domestic work",436,1.36
"4825","Eat drink",436,4.56
"4826","Miscellaneous",436,9.47
"4827","Nonsocial leisure",436,0.4
"4828","Paid work",436,5.83
"4829","Personal care",436,76.02
"4830","Religion and volunteering",436,0.07
"4831","School / Study",436,0.07
"4832","Social leisure",436,0.42
"4833","Sport exercise",436,0.25
"4834","TV/radio",436,1.04
"4835","Cultural leisure",437,0.5
"4836","Domestic work",437,1.36
"4837","Eat drink",437,4.59
"4838","Miscellaneous",437,9.47
"4839","Nonsocial leisure",437,0.4
"4840","Paid work",437,5.85
"4841","Personal care",437,76
"4842","Religion and volunteering",437,0.07
"4843","School / Study",437,0.07
"4844","Social leisure",437,0.42
"4845","Sport exercise",437,0.25
"4846","TV/radio",437,1.02
"4847","Cultural leisure",438,0.5
"4848","Domestic work",438,1.34
"4849","Eat drink",438,4.61
"4850","Miscellaneous",438,9.5
"4851","Nonsocial leisure",438,0.4
"4852","Paid work",438,5.83
"4853","Personal care",438,75.95
"4854","Religion and volunteering",438,0.07
"4855","School / Study",438,0.07
"4856","Social leisure",438,0.45
"4857","Sport exercise",438,0.25
"4858","TV/radio",438,1.04
"4859","Cultural leisure",439,0.5
"4860","Domestic work",439,1.26
"4861","Eat drink",439,4.66
"4862","Miscellaneous",439,9.5
"4863","Nonsocial leisure",439,0.4
"4864","Paid work",439,5.88
"4865","Personal care",439,75.92
"4866","Religion and volunteering",439,0.07
"4867","School / Study",439,0.07
"4868","Social leisure",439,0.45
"4869","Sport exercise",439,0.22
"4870","TV/radio",439,1.07
"4871","Cultural leisure",440,0.5
"4872","Domestic work",440,1.26
"4873","Eat drink",440,4.69
"4874","Miscellaneous",440,9.5
"4875","Nonsocial leisure",440,0.4
"4876","Paid work",440,5.88
"4877","Personal care",440,75.9
"4878","Religion and volunteering",440,0.07
"4879","School / Study",440,0.07
"4880","Social leisure",440,0.45
"4881","Sport exercise",440,0.22
"4882","TV/radio",440,1.07
"4883","Cultural leisure",441,0.52
"4884","Domestic work",441,1.31
"4885","Eat drink",441,5.03
"4886","Miscellaneous",441,9.35
"4887","Nonsocial leisure",441,0.45
"4888","Paid work",441,6.12
"4889","Personal care",441,75.11
"4890","Religion and volunteering",441,0.1
"4891","School / Study",441,0.07
"4892","Social leisure",441,0.52
"4893","Sport exercise",441,0.22
"4894","TV/radio",441,1.19
"4895","Cultural leisure",442,0.52
"4896","Domestic work",442,1.31
"4897","Eat drink",442,5.01
"4898","Miscellaneous",442,9.32
"4899","Nonsocial leisure",442,0.45
"4900","Paid work",442,6.12
"4901","Personal care",442,75.13
"4902","Religion and volunteering",442,0.1
"4903","School / Study",442,0.07
"4904","Social leisure",442,0.52
"4905","Sport exercise",442,0.22
"4906","TV/radio",442,1.21
"4907","Cultural leisure",443,0.52
"4908","Domestic work",443,1.31
"4909","Eat drink",443,5.06
"4910","Miscellaneous",443,9.32
"4911","Nonsocial leisure",443,0.45
"4912","Paid work",443,6.12
"4913","Personal care",443,75.03
"4914","Religion and volunteering",443,0.1
"4915","School / Study",443,0.07
"4916","Social leisure",443,0.55
"4917","Sport exercise",443,0.22
"4918","TV/radio",443,1.24
"4919","Cultural leisure",444,0.52
"4920","Domestic work",444,1.31
"4921","Eat drink",444,5.01
"4922","Miscellaneous",444,9.32
"4923","Nonsocial leisure",444,0.45
"4924","Paid work",444,6.12
"4925","Personal care",444,75.06
"4926","Religion and volunteering",444,0.1
"4927","School / Study",444,0.07
"4928","Social leisure",444,0.55
"4929","Sport exercise",444,0.22
"4930","TV/radio",444,1.26
"4931","Cultural leisure",445,0.52
"4932","Domestic work",445,1.34
"4933","Eat drink",445,5.01
"4934","Miscellaneous",445,9.32
"4935","Nonsocial leisure",445,0.45
"4936","Paid work",445,6.12
"4937","Personal care",445,75.03
"4938","Religion and volunteering",445,0.1
"4939","School / Study",445,0.07
"4940","Social leisure",445,0.55
"4941","Sport exercise",445,0.22
"4942","TV/radio",445,1.26
"4943","Cultural leisure",446,0.57
"4944","Domestic work",446,1.39
"4945","Eat drink",446,5.23
"4946","Miscellaneous",446,9.17
"4947","Nonsocial leisure",446,0.45
"4948","Paid work",446,6.42
"4949","Personal care",446,74.39
"4950","Religion and volunteering",446,0.1
"4951","School / Study",446,0.07
"4952","Social leisure",446,0.57
"4953","Sport exercise",446,0.25
"4954","TV/radio",446,1.39
"4955","Cultural leisure",447,0.57
"4956","Domestic work",447,1.36
"4957","Eat drink",447,5.23
"4958","Miscellaneous",447,9.15
"4959","Nonsocial leisure",447,0.45
"4960","Paid work",447,6.42
"4961","Personal care",447,74.44
"4962","Religion and volunteering",447,0.1
"4963","School / Study",447,0.07
"4964","Social leisure",447,0.57
"4965","Sport exercise",447,0.22
"4966","TV/radio",447,1.41
"4967","Cultural leisure",448,0.57
"4968","Domestic work",448,1.36
"4969","Eat drink",448,5.23
"4970","Miscellaneous",448,9.15
"4971","Nonsocial leisure",448,0.45
"4972","Paid work",448,6.42
"4973","Personal care",448,74.44
"4974","Religion and volunteering",448,0.1
"4975","School / Study",448,0.07
"4976","Social leisure",448,0.57
"4977","Sport exercise",448,0.22
"4978","TV/radio",448,1.41
"4979","Cultural leisure",449,0.52
"4980","Domestic work",449,1.36
"4981","Eat drink",449,5.26
"4982","Miscellaneous",449,9.15
"4983","Nonsocial leisure",449,0.45
"4984","Paid work",449,6.42
"4985","Personal care",449,74.44
"4986","Religion and volunteering",449,0.1
"4987","School / Study",449,0.07
"4988","Social leisure",449,0.57
"4989","Sport exercise",449,0.22
"4990","TV/radio",449,1.44
"4991","Cultural leisure",450,0.52
"4992","Domestic work",450,1.36
"4993","Eat drink",450,5.26
"4994","Miscellaneous",450,9.15
"4995","Nonsocial leisure",450,0.45
"4996","Paid work",450,6.42
"4997","Personal care",450,74.44
"4998","Religion and volunteering",450,0.1
"4999","School / Study",450,0.07
"5000","Social leisure",450,0.57
"5001","Sport exercise",450,0.22
"5002","TV/radio",450,1.44
"5003","Cultural leisure",451,0.37
"5004","Domestic work",451,1.44
"5005","Eat drink",451,6.15
"5006","Miscellaneous",451,8.46
"5007","Nonsocial leisure",451,0.5
"5008","Paid work",451,7.66
"5009","Personal care",451,72.82
"5010","Religion and volunteering",451,0.07
"5011","School / Study",451,0.07
"5012","Social leisure",451,0.67
"5013","Sport exercise",451,0.25
"5014","TV/radio",451,1.54
"5015","Cultural leisure",452,0.4
"5016","Domestic work",452,1.44
"5017","Eat drink",452,6.2
"5018","Miscellaneous",452,8.46
"5019","Nonsocial leisure",452,0.52
"5020","Paid work",452,7.69
"5021","Personal care",452,72.65
"5022","Religion and volunteering",452,0.07
"5023","School / Study",452,0.07
"5024","Social leisure",452,0.69
"5025","Sport exercise",452,0.22
"5026","TV/radio",452,1.59
"5027","Cultural leisure",453,0.4
"5028","Domestic work",453,1.44
"5029","Eat drink",453,6.22
"5030","Miscellaneous",453,8.43
"5031","Nonsocial leisure",453,0.52
"5032","Paid work",453,7.71
"5033","Personal care",453,72.68
"5034","Religion and volunteering",453,0.07
"5035","School / Study",453,0.05
"5036","Social leisure",453,0.67
"5037","Sport exercise",453,0.22
"5038","TV/radio",453,1.59
"5039","Cultural leisure",454,0.4
"5040","Domestic work",454,1.44
"5041","Eat drink",454,6.22
"5042","Miscellaneous",454,8.46
"5043","Nonsocial leisure",454,0.52
"5044","Paid work",454,7.74
"5045","Personal care",454,72.68
"5046","Religion and volunteering",454,0.07
"5047","School / Study",454,0.05
"5048","Social leisure",454,0.64
"5049","Sport exercise",454,0.22
"5050","TV/radio",454,1.56
"5051","Cultural leisure",455,0.4
"5052","Domestic work",455,1.44
"5053","Eat drink",455,6.22
"5054","Miscellaneous",455,8.46
"5055","Nonsocial leisure",455,0.52
"5056","Paid work",455,7.74
"5057","Personal care",455,72.68
"5058","Religion and volunteering",455,0.07
"5059","School / Study",455,0.05
"5060","Social leisure",455,0.64
"5061","Sport exercise",455,0.22
"5062","TV/radio",455,1.56
"5063","Cultural leisure",456,0.42
"5064","Domestic work",456,1.54
"5065","Eat drink",456,7.04
"5066","Miscellaneous",456,8.43
"5067","Nonsocial leisure",456,0.57
"5068","Paid work",456,8.16
"5069","Personal care",456,71.29
"5070","Religion and volunteering",456,0.07
"5071","School / Study",456,0.05
"5072","Social leisure",456,0.62
"5073","Sport exercise",456,0.2
"5074","TV/radio",456,1.61
"5075","Cultural leisure",457,0.42
"5076","Domestic work",457,1.54
"5077","Eat drink",457,7.04
"5078","Miscellaneous",457,8.43
"5079","Nonsocial leisure",457,0.57
"5080","Paid work",457,8.18
"5081","Personal care",457,71.26
"5082","Religion and volunteering",457,0.07
"5083","School / Study",457,0.05
"5084","Social leisure",457,0.62
"5085","Sport exercise",457,0.2
"5086","TV/radio",457,1.61
"5087","Cultural leisure",458,0.42
"5088","Domestic work",458,1.54
"5089","Eat drink",458,7.07
"5090","Miscellaneous",458,8.43
"5091","Nonsocial leisure",458,0.57
"5092","Paid work",458,8.21
"5093","Personal care",458,71.21
"5094","Religion and volunteering",458,0.07
"5095","School / Study",458,0.05
"5096","Social leisure",458,0.62
"5097","Sport exercise",458,0.2
"5098","TV/radio",458,1.61
"5099","Cultural leisure",459,0.42
"5100","Domestic work",459,1.56
"5101","Eat drink",459,7.04
"5102","Miscellaneous",459,8.43
"5103","Nonsocial leisure",459,0.57
"5104","Paid work",459,8.23
"5105","Personal care",459,71.24
"5106","Religion and volunteering",459,0.07
"5107","School / Study",459,0.05
"5108","Social leisure",459,0.6
"5109","Sport exercise",459,0.2
"5110","TV/radio",459,1.59
"5111","Cultural leisure",460,0.42
"5112","Domestic work",460,1.59
"5113","Eat drink",460,7.04
"5114","Miscellaneous",460,8.41
"5115","Nonsocial leisure",460,0.57
"5116","Paid work",460,8.23
"5117","Personal care",460,71.21
"5118","Religion and volunteering",460,0.07
"5119","School / Study",460,0.05
"5120","Social leisure",460,0.6
"5121","Sport exercise",460,0.2
"5122","TV/radio",460,1.61
"5123","Cultural leisure",461,0.5
"5124","Domestic work",461,1.91
"5125","Eat drink",461,7.69
"5126","Miscellaneous",461,8.31
"5127","Nonsocial leisure",461,0.64
"5128","Paid work",461,8.88
"5129","Personal care",461,69.23
"5130","Religion and volunteering",461,0.05
"5131","School / Study",461,0.07
"5132","Social leisure",461,0.62
"5133","Sport exercise",461,0.2
"5134","TV/radio",461,1.91
"5135","Cultural leisure",462,0.5
"5136","Domestic work",462,1.91
"5137","Eat drink",462,7.76
"5138","Miscellaneous",462,8.31
"5139","Nonsocial leisure",462,0.64
"5140","Paid work",462,8.88
"5141","Personal care",462,69.13
"5142","Religion and volunteering",462,0.05
"5143","School / Study",462,0.07
"5144","Social leisure",462,0.62
"5145","Sport exercise",462,0.2
"5146","TV/radio",462,1.93
"5147","Cultural leisure",463,0.5
"5148","Domestic work",463,1.91
"5149","Eat drink",463,7.76
"5150","Miscellaneous",463,8.31
"5151","Nonsocial leisure",463,0.64
"5152","Paid work",463,8.9
"5153","Personal care",463,69.1
"5154","Religion and volunteering",463,0.05
"5155","School / Study",463,0.07
"5156","Social leisure",463,0.62
"5157","Sport exercise",463,0.2
"5158","TV/radio",463,1.93
"5159","Cultural leisure",464,0.5
"5160","Domestic work",464,1.91
"5161","Eat drink",464,7.81
"5162","Miscellaneous",464,8.31
"5163","Nonsocial leisure",464,0.64
"5164","Paid work",464,8.88
"5165","Personal care",464,69.08
"5166","Religion and volunteering",464,0.05
"5167","School / Study",464,0.07
"5168","Social leisure",464,0.62
"5169","Sport exercise",464,0.2
"5170","TV/radio",464,1.93
"5171","Cultural leisure",465,0.5
"5172","Domestic work",465,1.91
"5173","Eat drink",465,7.79
"5174","Miscellaneous",465,8.33
"5175","Nonsocial leisure",465,0.62
"5176","Paid work",465,8.88
"5177","Personal care",465,69.1
"5178","Religion and volunteering",465,0.05
"5179","School / Study",465,0.07
"5180","Social leisure",465,0.62
"5181","Sport exercise",465,0.2
"5182","TV/radio",465,1.93
"5183","Cultural leisure",466,0.6
"5184","Domestic work",466,1.96
"5185","Eat drink",466,7.71
"5186","Miscellaneous",466,8.08
"5187","Nonsocial leisure",466,0.64
"5188","Paid work",466,10.41
"5189","Personal care",466,67.57
"5190","Religion and volunteering",466,0.07
"5191","School / Study",466,0.07
"5192","Social leisure",466,0.62
"5193","Sport exercise",466,0.22
"5194","TV/radio",466,2.03
"5195","Cultural leisure",467,0.6
"5196","Domestic work",467,1.93
"5197","Eat drink",467,7.74
"5198","Miscellaneous",467,8.06
"5199","Nonsocial leisure",467,0.64
"5200","Paid work",467,10.41
"5201","Personal care",467,67.57
"5202","Religion and volunteering",467,0.07
"5203","School / Study",467,0.07
"5204","Social leisure",467,0.62
"5205","Sport exercise",467,0.22
"5206","TV/radio",467,2.06
"5207","Cultural leisure",468,0.6
"5208","Domestic work",468,1.93
"5209","Eat drink",468,7.76
"5210","Miscellaneous",468,8.06
"5211","Nonsocial leisure",468,0.67
"5212","Paid work",468,10.41
"5213","Personal care",468,67.52
"5214","Religion and volunteering",468,0.07
"5215","School / Study",468,0.07
"5216","Social leisure",468,0.62
"5217","Sport exercise",468,0.22
"5218","TV/radio",468,2.06
"5219","Cultural leisure",469,0.6
"5220","Domestic work",469,1.93
"5221","Eat drink",469,7.81
"5222","Miscellaneous",469,8.06
"5223","Nonsocial leisure",469,0.67
"5224","Paid work",469,10.41
"5225","Personal care",469,67.47
"5226","Religion and volunteering",469,0.07
"5227","School / Study",469,0.07
"5228","Social leisure",469,0.62
"5229","Sport exercise",469,0.22
"5230","TV/radio",469,2.06
"5231","Cultural leisure",470,0.6
"5232","Domestic work",470,1.93
"5233","Eat drink",470,7.81
"5234","Miscellaneous",470,8.06
"5235","Nonsocial leisure",470,0.67
"5236","Paid work",470,10.41
"5237","Personal care",470,67.47
"5238","Religion and volunteering",470,0.07
"5239","School / Study",470,0.07
"5240","Social leisure",470,0.62
"5241","Sport exercise",470,0.22
"5242","TV/radio",470,2.06
"5243","Cultural leisure",471,0.67
"5244","Domestic work",471,2.01
"5245","Eat drink",471,8.26
"5246","Miscellaneous",471,7.79
"5247","Nonsocial leisure",471,0.64
"5248","Paid work",471,11.26
"5249","Personal care",471,65.96
"5250","Religion and volunteering",471,0.1
"5251","School / Study",471,0.07
"5252","Social leisure",471,0.67
"5253","Sport exercise",471,0.32
"5254","TV/radio",471,2.26
"5255","Cultural leisure",472,0.67
"5256","Domestic work",472,2.01
"5257","Eat drink",472,8.28
"5258","Miscellaneous",472,7.79
"5259","Nonsocial leisure",472,0.64
"5260","Paid work",472,11.26
"5261","Personal care",472,65.93
"5262","Religion and volunteering",472,0.1
"5263","School / Study",472,0.07
"5264","Social leisure",472,0.69
"5265","Sport exercise",472,0.3
"5266","TV/radio",472,2.26
"5267","Cultural leisure",473,0.69
"5268","Domestic work",473,2.03
"5269","Eat drink",473,8.26
"5270","Miscellaneous",473,7.74
"5271","Nonsocial leisure",473,0.64
"5272","Paid work",473,11.31
"5273","Personal care",473,65.88
"5274","Religion and volunteering",473,0.1
"5275","School / Study",473,0.07
"5276","Social leisure",473,0.69
"5277","Sport exercise",473,0.3
"5278","TV/radio",473,2.28
"5279","Cultural leisure",474,0.69
"5280","Domestic work",474,2.01
"5281","Eat drink",474,8.31
"5282","Miscellaneous",474,7.74
"5283","Nonsocial leisure",474,0.64
"5284","Paid work",474,11.31
"5285","Personal care",474,65.86
"5286","Religion and volunteering",474,0.1
"5287","School / Study",474,0.07
"5288","Social leisure",474,0.69
"5289","Sport exercise",474,0.3
"5290","TV/radio",474,2.28
"5291","Cultural leisure",475,0.69
"5292","Domestic work",475,2.01
"5293","Eat drink",475,8.33
"5294","Miscellaneous",475,7.74
"5295","Nonsocial leisure",475,0.64
"5296","Paid work",475,11.31
"5297","Personal care",475,65.76
"5298","Religion and volunteering",475,0.1
"5299","School / Study",475,0.07
"5300","Social leisure",475,0.72
"5301","Sport exercise",475,0.3
"5302","TV/radio",475,2.33
"5303","Cultural leisure",476,0.82
"5304","Domestic work",476,2.06
"5305","Eat drink",476,8.18
"5306","Miscellaneous",476,7.59
"5307","Nonsocial leisure",476,0.62
"5308","Paid work",476,12.15
"5309","Personal care",476,64.94
"5310","Religion and volunteering",476,0.12
"5311","School / Study",476,0.07
"5312","Social leisure",476,0.67
"5313","Sport exercise",476,0.35
"5314","TV/radio",476,2.43
"5315","Cultural leisure",477,0.84
"5316","Domestic work",477,2.06
"5317","Eat drink",477,8.16
"5318","Miscellaneous",477,7.59
"5319","Nonsocial leisure",477,0.62
"5320","Paid work",477,12.15
"5321","Personal care",477,64.96
"5322","Religion and volunteering",477,0.12
"5323","School / Study",477,0.07
"5324","Social leisure",477,0.67
"5325","Sport exercise",477,0.35
"5326","TV/radio",477,2.41
"5327","Cultural leisure",478,0.87
"5328","Domestic work",478,2.11
"5329","Eat drink",478,8.13
"5330","Miscellaneous",478,7.59
"5331","Nonsocial leisure",478,0.64
"5332","Paid work",478,12.12
"5333","Personal care",478,64.86
"5334","Religion and volunteering",478,0.12
"5335","School / Study",478,0.1
"5336","Social leisure",478,0.69
"5337","Sport exercise",478,0.35
"5338","TV/radio",478,2.41
"5339","Cultural leisure",479,0.87
"5340","Domestic work",479,2.11
"5341","Eat drink",479,8.13
"5342","Miscellaneous",479,7.59
"5343","Nonsocial leisure",479,0.64
"5344","Paid work",479,12.15
"5345","Personal care",479,64.82
"5346","Religion and volunteering",479,0.12
"5347","School / Study",479,0.1
